model,mileage,vol_engine,fuel,price(usd)
sportage,235000,1975,2,6225.0
ceed,140364,1582,1,9225.0
corsa,63500,1398,0,11247.5
seria-3,226000,1895,0,2075.0
mondeo,121700,1596,2,6875.0
seria-3,290000,1995,1,3975.0
mondeo,176072,1997,1,13225.0
qashqai,148000,1997,2,10225.0
ceed,140961,1368,2,8500.0
seria-3,296000,1995,1,4475.0
octavia,232000,1968,1,11975.0
octavia,5,1498,2,27800.0
insignia,119347,1490,2,20475.0
focus,161516,1596,2,3225.0
golf,71000,1272,2,2325.0
seria-5,214000,1995,1,13747.5
golf,243228,1390,2,5475.0
fiesta,80632,1242,2,5425.0
leon,130000,1197,2,4975.0
octavia,165576,1968,1,21475.0
mondeo,272850,1999,2,4975.0
astra,103258,1598,1,12475.0
golf,170000,1598,1,7200.0
golf,135336,1598,1,15475.0
insignia,10647,1598,1,16475.0
octavia,99490,1598,1,13449.75
a4,49000,1984,2,24325.0
megane,122000,1598,2,4975.0
seria-3,243000,1995,1,5650.0
ceed,57000,1368,2,14624.75
astra,170000,1598,1,11875.0
corsa,69000,1398,0,8975.0
corsa,98950,1398,2,10225.0
clio,136000,1461,1,6225.0
c-klasa,50500,1991,2,30375.0
golf,152000,1598,1,10625.0
fiesta,183000,1297,0,1725.0
seria-1,188750,1499,2,12720.0
astra,160000,1600,2,3475.0
leon,181000,1595,2,2725.0
leon,147000,1200,2,5497.5
leon,198000,1968,1,14000.0
seria-5,294000,1995,1,11225.0
golf,79000,1598,1,17475.0
passat,244000,1968,1,8975.0
megane,240000,1598,2,4100.0
e-klasa,148991,2143,1,15625.0
passat,211500,1968,1,13750.0
insignia,164000,1796,2,6975.0
fiesta,104580,1242,2,6100.0
mondeo,132106,1997,1,18499.75
megane,121620,1397,2,6500.0
insignia,212400,1598,2,8975.0
a3,179900,1595,2,5225.0
seria-3,236840,1995,1,5750.0
c-klasa,180000,1796,2,7475.0
octavia,79732,2000,1,20475.0
a6,243800,1968,1,16225.0
a6,88000,1968,1,34500.0
