model,mileage,vol_engine,fuel,price(usd)
0,15075,1498,2,32475.0
7,153000,1229,2,4500.0
20,100957,1197,2,14250.0
3,256389,1598,2,749.75
23,224000,2497,1,6500.0
15,54700,1395,2,15725.0
11,252000,1753,1,3950.0
21,268000,1598,1,7749.75
13,160000,1396,2,3950.0
4,197500,1800,2,9225.0
3,63312,1598,2,11500.0
3,129494,1598,2,9000.0
11,171000,1560,1,3725.0
13,38343,1598,1,16225.0
5,95632,1396,1,11975.0
13,247000,1582,1,4475.0
3,112000,1398,2,5500.0
20,149556,1598,2,9450.0
19,159842,1968,1,16725.0
15,144189,1395,2,16475.0
1,180000,1968,1,19250.0
11,49294,999,2,17997.5
4,170311,2148,1,2725.0
16,139000,1598,2,2499.75
22,262000,1895,2,1475.0
16,12,1332,2,27125.0
5,5,1482,2,25923.25
